Total,,CCDIS,,CC1pi,,CC1p1h,,CC2p2h,,NC,,CCother,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.45635758656670844,0.32946610807867555,8.703086413626279,0.1797429694532141,4.876870712542994,0.11679351978611063,0.7131724628174234,0.21029036270588142,0.6850575579081826,0.030533499791673968,0.6850575579081826,0.12061194394269392,,
0.4866909612042114,0.3379666475701172,9.50827652908315,0.18850716204118179,5.328067897710842,0.11108406652340974,0.7791535861092193,0.210690388093714,0.7484375529962536,0.03216996728735266,0.7484375529962536,0.12232114332706945,,
0.5190405477859957,0.3466671997554751,10.387961035520036,0.1969076951856652,5.821008838639907,0.10570190675984448,0.8512391355501233,0.21083585187110754,0.8176813236620009,0.03380643478303125,0.8176813236620009,0.12366668326796071,,
0.5535403607648817,0.35556776463474926,11.349031987596994,0.2047991051092709,6.359555574372823,0.09973789188670468,0.9299938790123834,0.20970850759630677,0.8933313733243267,0.035261072556967865,0.8933313733243267,0.12490312537580672,,
0.592712448629631,0.3645627799528172,12.399019077476929,0.2124359534224377,6.947927451178089,0.09351931540312597,1.0160348354302982,0.20792657632323452,0.9759803966066947,0.036533880609162184,0.9759803966066947,0.12606683559495602,,
0.6321091175704378,0.37314745176789027,13.54614862762301,0.21970914229212046,7.5907341798164545,0.08795532591781885,1.110036108951775,0.20610827910581386,1.06627592291527,0.037406663273524154,1.06627592291527,0.12686688637062116,,
0.6714185104292683,0.38201944340517646,14.799408041478143,0.2265095738852737,8.293011951191836,0.08275499587599566,1.2127341703347798,0.20228985494923046,1.1649253896305267,0.03769759082831148,1.1649253896305267,0.12763057120193777,,
0.7160466481329202,0.39071999559053433,16.16861621697713,0.23305544386798815,9.060262893341585,0.07791832527765663,1.3249336269667962,0.19756228218393668,1.2727016846592265,0.03769759082831148,1.2727016846592265,0.12832152414455755,,
0.7636411483123732,0.3993205414289341,17.664500474559855,0.23927402035156686,9.89849817889928,0.07344531412280175,1.4475135267136021,0.19265287969690081,1.3904492017709096,0.03744302921787257,1.3848679890271676,0.12902338687048198,,
0.8143991804394143,0.4082711094816873,19.298780602392416,0.24505620550296453,10.814285120763818,0.06806315435923671,1.5814342449860377,0.18705252426724517,1.5190904561606102,0.0367884422196012,1.5814342449860377,0.12923067275326794,,
0.8685310195320756,0.41697166166704525,21.08426067726421,0.2505838290439234,11.814798624954488,0.06275372648436839,1.727745008982831,0.18047028834018242,1.6596333120686395,0.03587929361089082,1.727745008982831,0.12930340464196477,,
0.9299938790123834,0.426255584209659,23.03492938054963,0.25574779314139806,12.907877403769344,0.057917055886029356,1.887592118059537,0.1732698313591966,1.8131788790836196,0.03482468122478677,1.887592118059537,0.12930340464196477,,
0.9998194862542917,0.4352783790685486,25.1660695951781,0.26051173185104026,14.102085389659463,0.053480410675522894,2.062227924627678,0.16639666787734642,1.9809301389938385,0.03355187317259245,2.062227924627678,0.12901247708717745,,
1.0748877252346798,0.4444789629886972,27.494378142271366,0.26458471761806257,15.406778830977526,0.04948015679719742,2.253020645946585,0.15861435578678595,2.1642013707756047,0.03224269917604938,2.253020645946585,0.12832152414455755,,
1.1649253896305267,0.4531785050089343,,,16.83217959527541,0.04573446452931085,2.4614650836803205,0.1519957539153748,2.3644284475605026,0.030751695457764572,2.4614650836803205,0.12784876686802815,,
1.2727016846592265,0.4615790381534178,,,18.38945525445888,0.0422796998162116,2.6891943352040713,0.14377705049263334,2.5831800862550236,0.02926069173947965,2.6891943352040713,0.12693961825931788,,
1.3904492017709096,0.46914315457788774,,,20.090806579242212,0.039152228602248096,2.9379925884144193,0.13595837245772446,2.822170137949906,0.027696956132497785,2.9379925884144193,0.12617593342800126,,
1.5190904561606102,0.4754344629501633,,,21.94956312839401,0.03624295305437486,3.209809100286922,0.12799423064542192,3.0832710154106895,0.026169586469864448,3.1713118686444313,0.12510313806972306,,
1.6596333120686395,0.47939835088414035,,,23.980287681686765,0.033660971005637585,3.5067734686985754,0.12050284610964879,3.368528362849681,0.024642216807231,3.563647291481461,0.1238848789340512,,
1.8131788790836196,0.48234399237636183,,,26.19889033474962,0.031188086789945446,3.8312123171652073,0.11337512101735969,3.6801770829124965,0.023151213088946188,3.8933479789965166,0.12239387521576628,,
1.9809301389938385,0.48568965925641583,,,28.05289287348709,0.029630412173688447,4.1856675232135085,0.10617466403637388,4.020658846445551,0.02169657531500957,4.23647823464583,0.12110288419139759,,
2.1642013707756047,0.48594422086685474,,,,,4.572916133201294,0.09908330488843331,4.392641222228179,0.020241937541073063,4.882478212646947,0.12033140665772057,,
2.3644284475605026,0.48619878247729365,,,,,4.995992119612509,0.09275563057180936,4.79903857654479,0.018932763544530107,5.371100162149515,0.11883001266962168,,
2.5831800862550236,0.4855078295346738,,,,,5.458210151288502,0.08653705408823065,5.243034906338788,0.017587223603638846,5.868022352066006,0.11795723000525982,,
2.822170137949906,0.4829258474859365,,,,,5.963191562828078,0.08060940515943926,5.7281087848389065,0.016350781495792832,6.410918673050011,0.11715717922959479,,
3.0832710154106895,0.4803438654371991,,,,,6.5148927266183625,0.0749726837854352,6.25806061509911,0.015187071276643649,7.004042549018389,0.11657532412002014,,
3.368528362849681,0.4769618326127967,,,,,7.1176360497826385,0.06955415807752163,6.837042404975221,0.014096092946191185,7.652040921168206,0.11621166467653599,,
3.6801770829124965,0.47299794467881956,,,,,7.77614383889657,0.06428109614700173,7.469590296815787,0.013005114615738833,8.359990655316475,0.11610256684349074,,
4.020658846445551,0.4684885675796163,,,,,8.495575297792254,0.05962625527040477,8.16066010672735,0.012059600062680031,9.133438317565753,0.11610256684349074,,
4.392641222228179,0.4651065347552139,,,,,9.28156694831658,0.05526234194859514,8.915666151853163,0.011150451453969756,9.978443629925366,0.11602983495479391,,
4.79903857654479,0.46259728459517335,,,,,10.140276790727748,0.05089842862678551,9.740523669864913,0.010277668789607786,10.901626946349758,0.11559344362261292,,
5.243034906338788,0.45896069016033203,,,,,11.078432549713105,0.04675271097106648,10.641695163011228,0.009477618013942757,11.910221121153747,0.11515705229043205,,
5.7281087848389065,0.4563423421672463,,,,,12.103384384020814,0.042897920870134554,11.626241029813853,0.008713933182626032,13.012128176177784,0.11490249067999303,,
6.25806061509911,0.45325123689763114,,,,,13.22316247266879,0.03933405832399006,12.701874881095446,0.008022980240006139,14.215981210672798,0.11490249067999303,,
6.837042404975221,0.4502328635167128,,,,,14.446539928901235,0.03609748927698131,13.877023973722537,0.007404759186083076,15.531212038949146,0.11490249067999303,,
7.469590296815787,0.44768724741232385,,,,,15.7831015348037,0.03304274995171452,15.160895235543517,0.006786538132160125,16.968125085710003,0.11490249067999303,,
8.16066010672735,0.4459416820836,,,,,17.24331883509144,0.030388036014280417,16.563547398806428,0.006241048966933893,18.53797811801567,0.11490249067999303,,
8.915666151853163,0.4450688994192381,,,,,18.83863217840708,0.027842419909891447,18.095969807199282,0.005731925746056077,20.25307044638918,0.11493885662434145,,
9.740523669864913,0.44452341025401193,,,,,20.581540348896088,0.02551499947159297,19.770168513941975,0.005259168469526787,22.126839286090913,0.1153025160678256,,
10.641695163011228,0.4422687217044103,,,,,22.485698490295384,0.023405774699384985,21.59926034548107,0.004786411192997386,24.173965033523277,0.11548434578956768,,
11.626241029813853,0.4395412758782793,,,,,24.566025089739714,0.021405647760222246,23.597575667747837,0.004422751749513232,26.41048628257324,0.11570254145565817,,
12.701874881095446,0.4376138808278134,,,,,26.838818859471154,0.01962371648715,25.780770660120606,0.004022726361680662,28.05289287348709,0.11570254145565817,,
