CC1p1h,,CCDIS,,CC2p2h,,CC1pi,,CCother,,NC,,Total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.10861708995628772,0.2732038892229314,2.7520776862340264,0.3046373835431335,0.09178025232791011,0.0003867079155110975,0.5252463191109725,0.18987803143446413,2.2884699282981305,0.03232344783443586,0.09031974108418396,0.03735590382166021,0.09477250810596152,0.28965614918116533
0.118635389871352,0.28849481318411363,3.538372212371663,0.3708528909750375,0.10024560611773564,0.0003867079155110975,0.5511409846621885,0.21542742336960408,2.499547007397957,0.03232344783443586,0.09865038458417516,0.04345291780618221,0.10351385267973429,0.3109473091271151
0.12905912599827418,0.30697941113718796,3.907777793707253,0.3929044494904854,0.10949176201879181,0.0003867079155110975,0.5783122583106199,0.24133166797050953,2.7300927859857635,0.030871777838121117,0.10774940518856109,0.04964670979045849,0.11306145538135984,0.33233524707281914
0.13927715787139955,0.32980826596812296,4.305541781934508,0.41535141526207253,0.11959073733266323,0.0003867079155110975,0.606823076888976,0.2658165019083518,2.958082106622768,0.029248058064465177,0.11768767417812077,0.05564694577522622,0.12299544538467226,0.3533941398193585
0.14970263035141199,0.3518091312456044,4.695125987336731,0.43153269682099427,0.13062119187848528,0.0003867079155110975,0.6367394800184569,0.2895916305146624,3.205110754637711,0.02700065784794825,0.12854259964792736,0.06387307575434331,0.13167305864598086,0.3793693549534174
0.1615550757836079,0.3747917555650382,5.172242156239339,0.44963018277505173,0.1426690406657108,0.0003867079155110975,0.6681307630763587,0.31230220112367557,3.702374108672586,0.02752293577981657,0.14039872943057236,0.0760671037233871,0.13927715787139955,0.4041583483190587
0.17364814274684603,0.3969345619088258,5.710042280071927,0.467727668729109,0.15582812307676422,0.0003867079155110975,0.7038867655855003,0.3352662379225215,4.797894086194986,0.022935779816513735,0.15334840963002805,0.08864824369144841,0.14732039267720667,0.42909942139860013
0.18441436837062775,0.41982255885072184,6.3630249621373105,0.48618000734893196,0.170200933771774,0.000580263915019863,0.7475279103280354,0.3595419622537517,6.662539162929723,0.016055045871559814,0.16749250389539663,0.1009390496602467,0.15582812307676422,0.4538884147642417
0.19506427025718942,0.44217827679396926,6.811951096115613,0.4954061766588438,0.1858994210083207,0.006096609901015793,0.8002677340473067,0.38291788161107565,9.332139846426767,0.013761467889908507,0.18294117903689097,0.1155525276231486,0.164827173620371,0.478677408129883
0.20632920236723903,0.46453399473721646,7.560563817803737,0.5145682206101985,0.20304585859422608,0.014322739880132662,0.8670978791433758,0.4062736388851176,15.13953618636735,0.009174311926605672,0.1998147631031243,0.1321983435808911,0.17364814274684603,0.5023258036412774
0.21824468260317934,0.4868897126804639,8.641892877423404,0.5276977692435341,0.2217737982649292,0.022161757860232445,0.9470746729653284,0.4235969008411402,26.092177179662176,0.006880733944954365,0.21824468260317934,0.14913449353789665,0.1814797582374188,0.5264912701799305
0.23177590416955068,0.5100438491216841,9.57879753551649,0.5390530545480408,0.24222910990341237,0.027678103846228597,1.034428128296773,0.43482314881264106,,,0.23837448617337795,0.16568353149588488,0.18890549909629673,0.5501244577199347
0.24713516031793267,0.5343956133098642,10.803394104844184,0.5507631925183132,0.2645711177048373,0.03232344783443586,1.120812945482771,0.4394577396897643,,,0.26036096266197956,0.18203901345436457,0.19663508446014188,0.5735447336604795
0.26351223904919624,0.558614307748382,11.918742035369513,0.5584812379987198,0.28897384113535396,0.03725912582190616,1.2439868816696595,0.4393717148010938,,,0.284375362340449,0.19742671541530088,0.20468094695823033,0.5973908327999431
0.2821036372342171,0.581990227105706,13.114131287157152,0.5667315624777756,0.3156273503507749,0.042581915808393545,1.35872604174095,0.43366181281558935,,,0.31060473075317524,0.21058852338188805,0.21305602793488213,0.620811108740488
0.3044387021471964,0.6044169155821066,14.362059438361415,0.5731189104615604,0.3447392466323239,0.0480014837946352,1.484048171012201,0.42398401284015774,,,0.3392533655948507,0.22616978134233312,0.2217737982649292,0.6442313846810326
0.3311877919545992,0.6275081463234866,16.017301512951626,0.5792933468458858,0.3765362793704122,0.05390494177964844,1.6209293899031345,0.40840275487971245,,,0.3705444079629713,0.24407371129688205,0.23084828002090554,0.6674387490221179
0.3617349059432392,0.6473476362731216,17.798955009351605,0.584296769433184,0.41126611219095033,0.0598083997646619,1.7704358513239575,0.39262794091975883,,,0.40472158037954903,0.2608163052543788,0.24029406902680858,0.6902202901642842
0.3950995337282902,0.6622514482352866,19.440642054458248,0.5901518384183202,0.44919925198036614,0.06619574774844672,1.9337320448242954,0.37791768495710265,,,0.4420510851192993,0.27649434121457794,0.25012635833471064,0.712788919706991
0.4315415487628028,0.6720260262104727,21.191216199214495,0.5954746284048078,0.4906311558342894,0.07238953973272322,2.112089866675505,0.3580781950074676,,,0.4828236776301741,0.29072070717846277,0.26036096266197956,0.7355704608491571
