theta23,dm31,chi2
37.465,-0.00133333,506.888
38.0567,-0.00133333,506.08
38.6455,-0.00133333,505.35
39.2315,-0.00133333,504.695
39.8151,-0.00133333,504.111
40.3966,-0.00133333,503.595
40.9761,-0.00133333,503.143
41.5539,-0.00133333,502.752
42.1304,-0.00133333,502.419
42.7057,-0.00133333,502.142
43.2801,-0.00133333,501.917
43.8538,-0.00133333,501.744
44.427,-0.00133333,501.62
45,-0.00133333,501.545
45.573,-0.00133333,501.518
46.1462,-0.00133333,501.539
46.7199,-0.00133333,501.609
47.2943,-0.00133333,501.729
47.8696,-0.00133333,501.901
48.4461,-0.00133333,502.125
49.0239,-0.00133333,502.406
49.6034,-0.00133333,502.745
50.1849,-0.00133333,503.146
50.7685,-0.00133333,503.611
51.3545,-0.00133333,504.146
51.9433,-0.00133333,504.753
52.535,-0.00133333,505.436
53.1301,-0.00133333,506.199
53.7288,-0.00133333,507.046
54.3315,-0.00133333,507.981
54.9384,-0.00133333,509.007
55.5501,-0.00133333,510.128
56.1668,-0.00133333,511.346
56.7891,-0.00133333,512.664
33.2109,-0.00138889,513.452
33.8332,-0.00138889,511.994
34.4499,-0.00138889,510.636
35.0616,-0.00138889,509.374
35.6685,-0.00138889,508.206
36.2712,-0.00138889,507.13
36.8699,-0.00138889,506.143
37.465,-0.00138889,505.241
38.0567,-0.00138889,504.422
38.6455,-0.00138889,503.681
39.2315,-0.00138889,503.015
39.8151,-0.00138889,502.42
40.3966,-0.00138889,501.894
40.9761,-0.00138889,501.433
41.5539,-0.00138889,501.033
42.1304,-0.00138889,500.692
42.7057,-0.00138889,500.408
43.2801,-0.00138889,500.177
43.8538,-0.00138889,499.999
44.427,-0.00138889,499.872
45,-0.00138889,499.795
45.573,-0.00138889,499.767
46.1462,-0.00138889,499.789
46.7199,-0.00138889,499.86
47.2943,-0.00138889,499.983
47.8696,-0.00138889,500.159
48.4461,-0.00138889,500.389
49.0239,-0.00138889,500.675
49.6034,-0.00138889,501.022
50.1849,-0.00138889,501.43
50.7685,-0.00138889,501.905
51.3545,-0.00138889,502.449
51.9433,-0.00138889,503.065
52.535,-0.00138889,503.758
53.1301,-0.00138889,504.532
53.7288,-0.00138889,505.39
54.3315,-0.00138889,506.335
54.9384,-0.00138889,507.372
55.5501,-0.00138889,508.503
56.1668,-0.00138889,509.731
56.7891,-0.00138889,511.06
33.2109,-0.00144444,512.07
33.8332,-0.00144444,510.604
34.4499,-0.00144444,509.237
35.0616,-0.00144444,507.967
35.6685,-0.00144444,506.791
36.2712,-0.00144444,505.707
36.8699,-0.00144444,504.711
37.465,-0.00144444,503.801
38.0567,-0.00144444,502.973
38.6455,-0.00144444,502.224
39.2315,-0.00144444,501.55
39.8151,-0.00144444,500.948
40.3966,-0.00144444,500.414
40.9761,-0.00144444,499.946
41.5539,-0.00144444,499.54
42.1304,-0.00144444,499.193
42.7057,-0.00144444,498.904
43.2801,-0.00144444,498.669
43.8538,-0.00144444,498.487
44.427,-0.00144444,498.357
45,-0.00144444,498.278
45.573,-0.00144444,498.249
46.1462,-0.00144444,498.271
46.7199,-0.00144444,498.344
47.2943,-0.00144444,498.468
47.8696,-0.00144444,498.646
48.4461,-0.00144444,498.88
49.0239,-0.00144444,499.17
49.6034,-0.00144444,499.521
50.1849,-0.00144444,499.935
50.7685,-0.00144444,500.416
51.3545,-0.00144444,500.966
51.9433,-0.00144444,501.589
52.535,-0.00144444,502.289
53.1301,-0.00144444,503.069
53.7288,-0.00144444,503.934
54.3315,-0.00144444,504.887
54.9384,-0.00144444,505.931
55.5501,-0.00144444,507.069
56.1668,-0.00144444,508.305
56.7891,-0.00144444,509.641
33.2109,-0.0015,510.826
33.8332,-0.0015,509.351
34.4499,-0.0015,507.976
35.0616,-0.0015,506.698
35.6685,-0.0015,505.514
36.2712,-0.0015,504.422
36.8699,-0.0015,503.418
37.465,-0.0015,502.501
38.0567,-0.0015,501.665
38.6455,-0.0015,500.909
39.2315,-0.0015,500.228
39.8151,-0.0015,499.619
40.3966,-0.0015,499.08
40.9761,-0.0015,498.605
41.5539,-0.0015,498.194
42.1304,-0.0015,497.842
42.7057,-0.0015,497.548
43.2801,-0.0015,497.309
43.8538,-0.0015,497.124
44.427,-0.0015,496.992
45,-0.0015,496.911
45.573,-0.0015,496.881
46.1462,-0.0015,496.903
46.7199,-0.0015,496.976
47.2943,-0.0015,497.102
47.8696,-0.0015,497.282
