theta23,dm31,chi2
44.427,0.00144444,501.412
45,0.00144444,501.382
45.573,0.00144444,501.401
46.1462,0.00144444,501.469
46.7199,0.00144444,501.586
47.2943,0.00144444,501.755
47.8696,0.00144444,501.977
48.4461,0.00144444,502.254
49.0239,0.00144444,502.589
49.6034,0.00144444,502.984
50.1849,0.00144444,503.444
50.7685,0.00144444,503.97
51.3545,0.00144444,504.568
51.9433,0.00144444,505.241
52.535,0.00144444,505.992
53.1301,0.00144444,506.825
53.7288,0.00144444,507.744
54.3315,0.00144444,508.752
54.9384,0.00144444,509.853
55.5501,0.00144444,511.049
56.1668,0.00144444,512.344
56.7891,0.00144444,513.739
33.2109,0.0015,512.346
33.8332,0.0015,510.934
34.4499,0.0015,509.624
35.0616,0.0015,508.411
35.6685,0.0015,507.293
36.2712,0.0015,506.267
36.8699,0.0015,505.33
37.465,0.0015,504.479
38.0567,0.0015,503.709
38.6455,0.0015,503.017
39.2315,0.0015,502.399
39.8151,0.0015,501.852
40.3966,0.0015,501.373
40.9761,0.0015,500.957
41.5539,0.0015,500.602
42.1304,0.0015,500.306
42.7057,0.0015,500.065
43.2801,0.0015,499.878
43.8538,0.0015,499.743
44.427,0.0015,499.658
45,0.0015,499.625
45.573,0.0015,499.641
46.1462,0.0015,499.708
46.7199,0.0015,499.826
47.2943,0.0015,499.996
47.8696,0.0015,500.22
48.4461,0.0015,500.501
49.0239,0.0015,500.841
49.6034,0.0015,501.242
50.1849,0.0015,501.708
50.7685,0.0015,502.241
51.3545,0.0015,502.847
51.9433,0.0015,503.527
52.535,0.0015,504.286
53.1301,0.0015,505.128
53.7288,0.0015,506.055
54.3315,0.0015,507.072
54.9384,0.0015,508.182
55.5501,0.0015,509.387
56.1668,0.0015,510.69
56.7891,0.0015,512.094
33.2109,0.0016,510.005
33.8332,0.0016,508.573
34.4499,0.0016,507.242
35.0616,0.0016,506.009
35.6685,0.0016,504.871
36.2712,0.0016,503.825
36.8699,0.0016,502.868
37.465,0.0016,501.997
38.0567,0.0016,501.207
38.6455,0.0016,500.496
39.2315,0.0016,499.859
39.8151,0.0016,499.294
40.3966,0.0016,498.797
40.9761,0.0016,498.365
41.5539,0.0016,497.995
42.1304,0.0016,497.684
42.7057,0.0016,497.431
43.2801,0.0016,497.233
43.8538,0.0016,497.088
44.427,0.0016,496.996
45,0.0016,496.956
45.573,0.0016,496.967
46.1462,0.0016,497.031
46.7199,0.0016,497.147
47.2943,0.0016,497.318
47.8696,0.0016,497.544
48.4461,0.0016,497.827
49.0239,0.0016,498.171
49.6034,0.0016,498.577
50.1849,0.0016,499.048
50.7685,0.0016,499.589
51.3545,0.0016,500.201
51.9433,0.0016,500.889
52.535,0.0016,501.656
53.1301,0.0016,502.506
53.7288,0.0016,503.442
54.3315,0.0016,504.468
54.9384,0.0016,505.586
55.5501,0.0016,506.8
56.1668,0.0016,508.112
56.7891,0.0016,509.526
33.2109,0.00165,509.005
33.8332,0.00165,507.564
34.4499,0.00165,506.225
